barcode,product,model,color,size,price
1214113002007,กระเป๋าผ้า,4113,ตาล,-,1490
1214113005008,กระเป๋าผ้า,4113,ม่วง,-,1490
1214114001009,กระเป๋าผ้า,4114,ดำ,-,1690
1214117001006,กระเป๋าผ้า,4117,ดำ,-,1490
1214117002003,กระเป๋าผ้า,4117,ตาล,-,1490
1214117006001,กระเป๋าผ้า,4117,กากี,-,1490
1214117007008,กระเป๋าผ้า,4117,กรม,-,1490
1214117005004,กระเป๋าผ้า,4117,ม่วง,-,1490
1214123001007,กระเป๋าผ้า,4123,ดำ,-,1690
1214123002004,กระเป๋าผ้า,4123,ตาล,-,1690
1214123005005,กระเป๋าผ้า,4123,ม่วง,-,1690
1214123006002,กระเป๋าผ้า,4123,กากี,-,1690
1214042001003,กระเป๋าผ้า,4042,ดำ,-,1980
1214042002000,กระเป๋าผ้า,4042,ตาล,-,1980
1214042005001,กระเป๋าผ้า,4042,ม่วง,-,1980
1214136001001,กระเป๋าผ้า,4136,ดำ,-,2290
1214136002008,กระเป๋าผ้า,4136,ตาล,-,2290
1214136005009,กระเป๋าผ้า,4136,ม่วง,-,2290
1214139001008,กระเป๋าผ้า,4139,ดำ,-,2290
1214139002005,กระเป๋าผ้า,4139,ตาล,-,2290
1214139005006,กระเป๋าผ้า,4139,ม่วง,-,2290
1214140001004,กระเป๋าผ้า,4140,ดำ,-,1690
1214140002001,กระเป๋าผ้า,4140,ตาล,-,1690
1214140005002,กระเป๋าผ้า,4140,ม่วง,-,1690
1214180001002,กระเป๋าผ้า,4180,ดำ,-,1790
1214180002009,กระเป๋าผ้า,4180,ตาล,-,1790
1214180005000,กระเป๋าผ้า,4180,ม่วง,-,1790
1214180007004,กระเป๋าผ้า,4180,กรม,-,1790
1214181001001,กระเป๋าผ้า,4181,ดำ,-,1890
1214181002008,กระเป๋าผ้า,4181,ตาล,-,1890
1214181005009,กระเป๋าผ้า,4181,ม่วง,-,1890
1214181007003,กระเป๋าผ้า,4181,กรม,-,1890
1214190001009,กระเป๋าผ้า,4190,ดำ,-,1690
1214190002006,กระเป๋าผ้า,4190,ตาล,-,1690
1214190005007,กระเป๋าผ้า,4190,ม่วง,-,1690
1214188121009,กระเป๋าผ้า,4188L,ดำ,-,1790
1214188122006,กระเป๋าผ้า,4188L,ตาล,-,1790
1214188125007,กระเป๋าผ้า,4188L,ม่วง,-,1790
1214176001009,กระเป๋าผ้า,4176,ดำ,-,1590
1214176002006,กระเป๋าผ้า,4176,ตาล,-,1590
1214176005007,กระเป๋าผ้า,4176,ม่วง,-,1590
1214195001004,กระเป๋าผ้า,4195,ดำ,-,2490
1214195002001,กระเป๋าผ้า,4195,ตาล,-,2490
1214195005002,กระเป๋าผ้า,4195,ม่วง,-,2490
1214195007006,กระเป๋าผ้า,4195,กรม,-,2490
1214182001000,กระเป๋าผ้า,4182,ดำ,-,2190
1220030001009,กระเป๋าผ้า,003,ดำ,-,790
1220030002006,กระเป๋าผ้า,003,ตาล,-,790
1220030005007,กระเป๋าผ้า,003,ม่วง,-,790
1220031201002,กระเป๋าผ้า,003L,ดำ,-,690
1220031202009,กระเป๋าผ้า,003L,ตาล,-,690
1220031206007,กระเป๋าผ้า,003L,ม่วง,-,690
1221310001009,กระเป๋าผ้า,131,ดำ,-,490
1221330001003,กระเป๋าผ้า,133,ดำ,-,590
1221330002000,กระเป๋าผ้า,133,ตาล,-,590
1221350001007,กระเป๋าผ้า,135,ดำ,-,490
1221350002004,กระเป๋าผ้า,135,ตาล,-,490
1221350005005,กระเป๋าผ้า,135,ม่วง,-,490
1222060001004,กระเป๋าผ้า,206,ดำ,-,590
1222060002001,กระเป๋าผ้า,206,ตาล,-,590
1222110001008,กระเป๋าผ้า,211,ดำ,-,690
1222110002005,กระเป๋าผ้า,211,ตาล,-,690
1222110005006,กระเป๋าผ้า,211,ม่วง,-,690
1222900001003,กระเป๋าผ้า,290,ดำ,-,590
1222900002000,กระเป๋าผ้า,290,ตาล,-,590
1222900005001,กระเป๋าผ้า,290,ม่วง,-,590
1222910001000,กระเป๋าผ้า,291,ดำ,-,590
1222920001007,กระเป๋าผ้า,292,ดำ,-,690
1222920002004,กระเป๋าผ้า,292,ตาล,-,690
1223060001001,กระเป๋าผ้า,306,ดำ,-,590
1223060002008,กระเป๋าผ้า,306,ตาล,-,590
1223060005009,กระเป๋าผ้า,306,ม่วง,-,590
1223060006006,กระเป๋าผ้า,306,กากี,-,590
1223210001004,กระเป๋าผ้า,321,ดำ,-,490
1223230001008,กระเป๋าผ้า,323,ดำ,-,690
1223230002005,กระเป๋าผ้า,323,ตาล,-,690
1223250001002,กระเป๋าผ้า,325,ดำ,-,490
1225120001006,กระเป๋าผ้า,512,ดำ,-,490
1225120002003,กระเป๋าผ้า,512,ตาล,-,490
1225120005004,กระเป๋าผ้า,512,ม่วง,-,490
1225160001004,กระเป๋าผ้า,516,ดำ,-,690
1225160002001,กระเป๋าผ้า,516,ตาล,-,690
1225160005002,กระเป๋าผ้า,516,ม่วง,-,690
1225330001001,กระเป๋าผ้า,533,ดำ,-,590
1225330002008,กระเป๋าผ้า,533,ตาล,-,590
1225420001003,กระเป๋าผ้า,542,ดำ,-,690
1225420002000,กระเป๋าผ้า,542,ตาล,-,690
1225420006008,กระเป๋าผ้า,542,กากี,-,690
1225420007005,กระเป๋าผ้า,542,กรม,-,690
1225460001001,กระเป๋าผ้า,546,ดำ,-,690
1225460002008,กระเป๋าผ้า,546,ตาล,-,690
1225320001004,กระเป๋าผ้า,532,ดำ,-,690
1225320002001,กระเป๋าผ้า,532,ตาล,-,690
1225320006009,กระเป๋าผ้า,532,กากี,-,690
1225510001005,กระเป๋าผ้า,551,ดำ,-,690
1225510002002,กระเป๋าผ้า,551,ตาล,-,690
1225510006000,กระเป๋าผ้า,551,กากี,-,690
